criticalRate,death,deathRate,confCaseRate,createDt,confCase,gubun
5.26,600,28.24,5.37,2021-08-09,11409,70-79
5.41,591,28.37,5.95,2021-07-28,10922,70-79
2.94,1,100,41.46,2020-02-20,34,Male
0.07,15,0.78,15,2021-05-24,20474,40-49
1.68,275,52.28,47.72,2020-11-30,16321,Male
0.04,7,0.38,13.45,2021-04-27,16121,30-39
0.04,21,0.81,15.95,2021-10-11,53084,30-39
2.78,38,14.39,12.29,2020-05-22,1369,60-69
0.12,14197,48.96,46.73,2022-10-24,11827121,Male
0.21,1493,13.51,9.27,2022-03-16,707136,60-69
1.77,792,50.25,50.72,2021-02-24,44688,Female
2.69,14424,58.82,2.92,2022-06-26,535253,80 over
3.68,1339,26.7,6.17,2021-12-23,36415,70-79
0,37,0.11,10.14,2023-03-09,3101848,0-9
0,0,0,0,2020-01-29,0,80 over
0.04,31,0.65,14.61,2021-12-20,83313,30-39
0,9,0.04,13.1,2022-06-18,2392951,10-19
20.26,770,55.88,4.97,2021-01-27,3801,80 over
0.17,2,0.83,10.66,2020-04-25,1143,30-39
0.45,7720,22.69,5.59,2023-03-03,1707949,70-79
0.04,7,0.38,13.49,2021-05-02,16623,30-39
0,0,0,15.86,2021-01-03,10029,20-29
0.05,19,0.89,15.87,2021-08-13,34932,40-49
0,138,0.46,14.57,2022-11-15,3829371,30-39
1.05,249,12.18,14.04,2021-07-12,23743,60-69
0.41,5,11.9,19.3,2020-03-06,1213,50-59
0,24,0.07,12.26,2023-08-22,4194959,10-19
0.82,1505,49.33,46.91,2021-11-12,183269,Female
0,0,0,3.49,2023-06-30,1126367,80 over
0.31,54,3.28,18.55,2021-03-09,17301,50-59
0.04,35,0.65,14.54,2021-12-29,90292,30-39
1.94,20389,59.62,3.42,2023-03-23,1049965,80 over
0,0,0,3.48,2021-01-03,2203,0-9
0,0,0,8.42,2021-08-30,21060,10-19
0,16,0,13,2022-10-06,3185877,10-19
0.01,327,1.34,15.43,2022-06-19,2820255,40-49
1,368,14.38,11.16,2021-10-09,36806,60-69
1.69,582,49.11,49,2021-01-13,34391,Male
1,435,14.51,11.52,2021-11-09,44175,60-69
0,67,0,15,2022-09-02,3489487,20-29
0,18,0.06,12.65,2022-12-16,3550472,10-19
0.21,3,1.2,13.27,2020-05-03,1432,40-49
0.03,1452,4.05,13.11,2023-08-28,4514538,50-59
0,0,0,4.1,2021-03-06,3775,0-9
0.11,17587,49.4,46,2023-08-17,15653860,Male
0,22,0.06,12.43,2023-03-14,3808637,10-19
0.11,15706,51.11,53.47,2022-12-04,14602366,Female
1.77,113,47.08,59.64,2020-04-25,6392,Female
0,136,0.47,14.59,2022-10-12,3651911,30-39
0.06,25,1.06,15.99,2021-09-13,43870,40-49
0.41,18,4.49,18.55,2020-09-27,4380,50-59
0,160,0.47,14.64,2023-03-25,4502792,30-39
2.4,41,14.49,13.09,2020-07-04,1705,60-69
0.1,18069,50.58,54.02,2023-08-23,18515166,Female
1.85,176,52.85,45.39,2020-09-05,9535,Male
0.07,15,0.77,15.03,2021-05-27,20793,40-49
0,12,0,19,2021-11-04,69626,20-29
0,0,0,15.15,2020-02-19,10,40-49
1.83,706,49.54,49.07,2021-02-01,38521,Male
0.03,1406,4.09,13.06,2023-04-11,4040014,50-59
0.01,414,1.35,15.23,2022-12-03,4151940,40-49
6.78,157,31.78,7.99,2020-11-17,2316,70-79
0,78,0.24,14.58,2023-01-06,4289359,20-29
0,1033,4,12,2022-07-28,2414328,50-59
0,0,0,46.13,2023-07-08,14938664,Male
0,0,0,4.03,2021-02-24,3551,0-9
2,15904,59,3,2022-09-03,703416,80 over
0,3,0.05,8.64,2022-01-27,67185,0-9
5.61,580,28.66,6.52,2021-07-02,10344,70-79
0,0,0,0,2020-01-24,0,0-9
0,80,0.23,14.56,2023-06-07,4634663,20-29
0.02,3,0.17,14.93,2021-04-12,16445,20-29
1.01,356,14.26,11.23,2021-10-01,35222,60-69
0,0,0,26.34,2020-06-25,3309,20-29
0.55,1,33.33,52.89,2020-02-22,183,Female
1.27,60,11.98,15.8,2020-11-20,4734,60-69
0.01,3,0.05,8.19,2022-01-15,56315,0-9
0,0,0,21.43,2020-02-15,6,40-49
0,0,0,7.01,2021-05-05,8759,10-19
0.1,16855,50.9,53.6,2023-01-19,16054424,Female
0.04,611,4.18,11.97,2022-03-26,1376420,50-59
1.47,390,50.45,48.44,2020-12-25,26523,Male
0.01,12,0.21,14.95,2022-01-01,94950,20-29
0.01,478,1.36,15.18,2023-07-17,4950700,40-49
0.9,1092,15.73,10.76,2022-02-09,121697,60-69
0,21,0.09,12.09,2022-05-13,2143606,0-9
0.03,1386,4.08,13.07,2023-02-25,3983868,50-59
0,0,0,1.4,2020-06-10,167,0-9
0,0,0,6.12,2020-12-09,2413,10-19
0,0,0,8.56,2021-09-10,23048,10-19
0,0,0,26.77,2020-06-17,3265,20-29
0.03,15,0.62,15.57,2021-09-21,45024,30-39
4.67,677,27.04,4.59,2021-10-02,14511,70-79
0,0,0,5.54,2020-07-06,728,10-19
4.6,686,26.97,4.57,2021-10-07,14901,70-79
0.03,1411,4.09,13.07,2023-05-05,4083300,50-59
0.12%,12959,51,53,2022-08-07,10873408,Female
1.58,18,16.22,12.7,2020-03-23,1138,60-69
1.99,19235,59.6,3.31,2023-01-02,964919,80 over
0,0,0,7.23,2021-06-30,11345,10-19
2,16981,59,3,2022-10-13,771623,80 over
2,17288,59,3,2022-11-02,801694,80 over
2.5,14887,58.77,2.87,2022-08-09,594863,80 over
0,0,0,3.51,2023-07-22,1153733,80 over
0.09,7,0.85,14.14,2020-12-28,8152,40-49
0.06,16,0.78,15.76,2021-07-20,28445,40-49
0.11,16271,51.04,53.56,2022-12-27,15410586,Female
0.09,9,0.7,14.34,2021-01-19,10483,40-49
0.11,3960,11.37,11,2023-06-05,3498199,60-69
0,0,0,4.96,2021-08-08,10471,0-9
0.12,13567,48.93,46.79,2022-09-16,11376950,Male
1.81,21048,59.68,3.53,2023-07-27,1165188,80 over
0.31,25,4.26,18.28,2020-12-14,7948,50-59
0.08,15,0.8,14.89,2021-05-12,19199,40-49
0,0,0,4.56,2021-06-28,7092,0-9
0,0,0,5.97,2021-11-09,22876,0-9
2.69,14398,58.83,2.92,2022-06-22,534698,80 over
0.74,3475,24.31,4.23,2022-03-25,471834,70-79
0.43,21,4.51,18.34,2020-11-01,4885,50-59
0,0,0,5.76,2020-08-21,961,10-19
0.04%,1062,4,13,2022-08-12,2643657,50-59
0.08,75,1.37,14.6,2021-12-30,91421,40-49
0.14,11762,48.69,47,2022-05-29,8497676,Male
0,157,0.47,14.63,2023-02-13,4441641,30-39
0,39,0.11,9.6,2023-08-08,3227886,0-9
0,80,0.23,14.56,2023-06-08,4637630,20-29
0,9,0.04,13.1,2022-06-19,2393695,10-19
0.69,15,5.42,17.96,2020-06-14,2170,50-59
0.11,1,2.27,13.92,2020-03-07,942,40-49
24.91,144,49.48,4.25,2020-07-16,578,80 over
0,3343,12,11,2022-10-20,2655258,60-69
1.2,1009,49.51,50.54,2021-07-10,84260,Male
0.15,2,0.73,11.19,2020-06-09,1326,30-39
1.45,939,49.66,49.85,2021-05-13,64619,Male
6.47,404,27.26,7.66,2021-02-09,6244,70-79
0.18,2,0.84,10.66,2020-04-22,1140,30-39
21.07,224,50.45,4.21,2020-10-19,1063,80 over
0.64,5625,23.04,4.81,2022-06-17,878307,70-79
0.05,7,0.39,13.44,2021-04-18,15338,30-39
0,0,0,3.43,2023-04-16,1062180,80 over
0,55,0.24,14.38,2022-05-05,2507063,20-29
0.06,29,1.21,16.06,2021-09-19,45924,40-49
0.14,12050,48.73,47.01,2022-07-16,8801288,Male
0,34,0,11,2022-10-19,2777595,0-9
0.84,3431,51.38,51.75,2022-01-28,410652,Male
0.45,7766,22.69,5.6,2023-03-27,1722630,70-79
0.13,12439,51.32,53,2022-06-04,9621265,Female
0.07,438,4.54,11.87,2022-03-10,657387,50-59
0,0,0,3.33,2020-02-17,1,70-79
0.15,2,0.72,11.26,2020-06-11,1345,30-39
0,37,0.11,10.13,2023-03-15,3105519,0-9
0,0,0,8.37,2021-08-24,20027,10-19
2,15114,59,3,2022-08-16,623549,80 over
0.01,452,1.36,15.25,2023-01-26,4585951,40-49
1.39,996,50.53,49.9,2021-06-05,71655,Female
0.3,197,5.79,15.12,2021-11-25,64873,50-59
0,0,0,5.57,2020-07-14,752,10-19
3.62,1135,26.69,6.06,2021-12-12,31367,70-79
0.04,105,1,15,2022-02-18,269779,40-49
0,0,0,6.15,2020-12-10,2466,10-19
0,0,0,5.47,2020-10-21,1390,10-19
0.01,474,1.36,15.21,2023-05-31,4820796,40-49
0.04,41,0.63,14.71,2022-01-23,107950,30-39
1.85,20944,59.64,3.5,2023-07-11,1134576,80 over
0.79,3466,51.31,51.62,2022-01-31,436534,Male
1.41,169,47.61,54.37,2020-09-12,11991,Female
