gubunEn,deathCnt,defCnt,isolClearCnt,stdDay,localOccCnt,qurRate,overFlowCnt,gubunCn,incDec,isolIngCnt,gubun
Gyeonggi-do,487,23409,20771,2021-02-27,166,176.67,3,京畿,169,2151,경기
Total,13,2022,25,2020-02-28,427,0.00,0,合计,427,1984,합계
Jeju,0,63,59,2020-11-18,0,9.39,0,济州,0,4,제주
Jeollanam-do,0,20,17,2020-06-06,0,1.07,0,全南,0,3,전남
Gyeonggi-do,7797,7592942,0,2022-12-16,18474,55973,7,京畿,18481,0,경기
Gwangju,3,509,495,2020-10-26,0,34.94,0,光州,0,11,광주
Incheon,903,706346,190339,2022-03-25,0,23957,21773,仁川,21773,0,인천
Chungcheongbuk-do,82,7739,7165,2021-10-27,29,483.43,0,忠北,29,492,충북
Jeollabuk-do,58,2311,2205,2021-06-18,3,127.17,1,全北,4,48,전북
Chungcheongbuk-do,1043,978425,0,2023-05-02,392,61341,0,忠北,392,0,충북
Incheon,838,634945,167661,2022-03-22,17568,21535,1,仁川,17569,0,인천
Gyeongsangbuk-do,2049,1386490,0,2023-02-09,815,53316,1,庆北,816,0,경북
Daejeon,0,0,0,2020-02-17,0,0.00,0,大田,0,0,대전
Seoul,5101,4346524,0,2022-08-18,28349,45707,26,首尔,28375,0,서울
Total,32421,29363272,0,2023-01-05,63901,56863,193,合计,64094,0,합계
Ulsan,1,59,53,2020-07-31,0,5.14,0,蔚山,0,5,울산
Busan,155,12502,11818,2021-09-25,51,368.58,0,釜山,51,529,부산
Gangwon-do,162,69333,30790,2022-03-02,4966,4507,5,江原,4971,0,강원
Gyeongsangnam-do,19,4728,4529,2021-06-02,19,140.66,2,庆南,21,180,경남
Jeju,157,216320,0,2022-04-23,1022,31964,0,济州,1022,0,제주
Chungcheongnam-do,1406,1118659,0,2022-12-11,2250,52785,2,忠南,2252,0,충남
Gyeonggi-do,8250,8173664,0,2023-02-02,4087,60147,4,京畿,4091,0,경기
Ulsan,57,5822,5580,2021-12-09,49,512,0,蔚山,49,0,울산
Daegu,308,18686,17676,2021-11-27,76,773,0,大邱,76,702,대구
Gangwon-do,57,4934,4516,2021-08-15,31,319.80,0,江原,31,361,강원
Lazaretto,16,13850,0,2022-10-05,0,2047,19,隔離區,19,0,검역
Chungcheongnam-do,8,833,638,2020-11-26,16,39.25,0,忠南,16,187,충남
Incheon,61,6737,6437,2021-06-29,17,227.90,0,仁川,17,239,인천
Sejong,35,136806,0,2022-05-21,209,36786,0,世宗,209,0,세종
Gwangju,3,560,510,2020-11-16,4,38.44,0,光州,4,47,광주
Gyeonggi-do,954,111298,100989,2021-11-04,868,829,5,京畿,873,9355,경기
Daegu,430,66854,44976,2022-02-16,4190,2803,0,大邱,4190,0,대구
Seoul,4802,3598555,0,2022-05-24,4271,37842,1,首尔,4272,0,서울
Busan,121,4670,4009,2021-04-19,25,136.88,1,釜山,26,540,부산
Gyeongsangbuk-do,78,4053,3683,2021-04-28,23,152.22,2,庆北,25,292,경북
Ulsan,0,27,3,2020-03-14,0,2.35,0,蔚山,0,24,울산
Gwangju,3,496,490,2020-10-10,0,34.05,0,光州,0,3,광주
Gwangju,32,6720,6292,2021-12-11,25,463,0,光州,25,0,광주
Sejong,0,50,50,2020-08-05,0,14.61,0,世宗,0,0,세종
Gangwon-do,50,2492,2315,2021-04-15,18,161.76,0,江原,18,127,강원
Gyeonggi-do,4,401,115,2020-03-26,10,3.03,4,京畿,14,282,경기
Total,31298,28062679,0,2022-12-16,66871,54344,82,合计,66953,0,합계
Lazaretto,0,0,0,2020-02-11,0,0.00,0,隔離區,0,0,검역
Gyeongsangbuk-do,1677,1127408,0,2022-10-05,1598,42923,6,庆北,1604,0,경북
Jeollabuk-do,58,2316,2210,2021-06-19,5,127.44,0,全北,5,48,전북
Gwangju,0,169,53,2020-07-14,0,11.60,1,光州,1,116,광주
